method,id,file,dataset,fitness,dice,jaccard,acc
otsu,6,412,ar,0.9498515341471462,0.3073337366117496,0.18156782778700414,0.9119918258101852
otsu,6,413,ar,0.9685084784865613,0.3351161491179053,0.20128500191791332,0.9246871383101852
otsu,6,414,ar,0.9800703399765534,0.45080404429465576,0.29099226772084236,0.9355355721932871
otsu,6,415,ar,0.9680405278629057,0.5203563624138511,0.351676815413978,0.9354971426504629
otsu,6,416,ar,0.9736469755925009,0.40798176866210883,0.25626702045946514,0.9277682834201388
otsu,6,417,ar,0.9692010806638364,0.45055260513851014,0.29078276980083373,0.9307725694444444
otsu,6,418,ar,0.9335089472249978,0.375394955527551,0.23106844140660132,0.9226910626446759
otsu,6,419,ar,0.9525267993874426,0.40660588336487186,0.25518224218345137,0.9220241970486112
otsu,6,420,ar,0.9487206157686707,0.33691637115839246,0.20258534526797414,0.9188413266782407
otsu,6,421,ar,0.9694696441032798,0.38228566514747614,0.2363122195998384,0.9188074182581019
otsu,6,422,ar,0.9575003495037048,0.45157249291224366,0.2916329572067277,0.9247866030092593
